啵啵电话,存活4年8个月,2015/4/1,2019/12/21,工具软件,江苏,天使轮
银锋网络,存活2年0个月,2017/12/1,2019/12/20,企业服务,浙江,尚未获投
老虎快购,存活4年4个月,2015/8/1,2019/12/20,物流,北京,天使轮
一生君BIOESSENCE,存活3年4个月,2016/8/1,2019/12/20,电子商务,北京,天使轮
猬合互动,存活4年5个月,2015/7/1,2019/12/20,游戏,天津,尚未获投
思域软件,存活13年10个月,2006/2/1,2019/12/20,企业服务,广东,尚未获投
街街,存活2年7个月,2017/5/1,2019/12/20,本地生活,天津,尚未获投
途升科技,存活2年4个月,2017/8/1,2019/12/20,本地生活,广东,尚未获投
铸艺软件,存活5年7个月,2014/5/1,2019/12/20,游戏,上海,不明确
龙采正元,存活5年2个月,2014/10/1,2019/12/20,企业服务,辽宁,A+轮
猫花花,存活1年10个月,2018/2/1,2019/12/20,金融,湖北,尚未获投
万校互联,存活4年2个月,2015/10/1,2019/12/20,本地生活,广东,A轮
宇辰网,存活5年6个月,2014/6/1,2019/12/20,智能硬件,北京,尚未获投
热钱网,存活4年1个月,2015/11/1,2019/12/20,金融,广东,尚未获投
Tripper,存活6年3个月,2013/9/1,2019/12/20,旅游,台湾,不明确
橙子有钱,存活1年3个月,2018/9/1,2019/12/20,金融,浙江,尚未获投
91钓鱼,存活4年0个月,2015/12/1,2019/12/20,社交网络,北京,尚未获投
闲聊,存活3年0个月,2016/12/1,2019/12/19,社交网络,广东,尚未获投
易链信融,存活2年2个月,2017/10/1,2019/12/19,企业服务,四川,尚未获投
青海春天,存活16年8个月,2003/4/1,2019/12/19,医疗健康,青海,尚未获投
益生健步,存活4年1个月,2015/11/1,2019/12/19,体育运动,北京,尚未获投
合众康桥,存活8年7个月,2011/5/1,2019/12/19,广告营销,北京,尚未获投
快猫眼,存活4年10个月,2015/2/1,2019/12/19,企业服务,北京,尚未获投
龙渊鸿志,存活5年2个月,2014/10/1,2019/12/19,教育,北京,A轮
91免税,存活4年9个月,2015/3/1,2019/12/19,电子商务,广东,不明确
新共响,存活3年6个月,2016/6/1,2019/12/19,企业服务,广东,天使轮
芒果淘金,存活2年8个月,2017/4/1,2019/12/19,金融,黑龙江,尚未获投
爱应用,存活9年8个月,2010/4/1,2019/12/19,社交网络,江苏,不明确
i艺人,存活6年4个月,2013/8/1,2019/12/19,企业服务,北京,不明确
橘子锁屏,存活4年1个月,2015/11/1,2019/12/19,工具软件,江苏,尚未获投
