美乐网,存活5年10个月,2012/2/1,2017/12/31,文娱传媒,北京,不明确
布拉旅行,存活5年1个月,2012/11/1,2017/12/31,旅游,上海,A+轮
乐乐订,存活4年0个月,2013/12/1,2017/12/31,本地生活,广东,不明确
俏花旦,存活4年8个月,2013/4/1,2017/12/31,电子商务,江苏,不明确
Biu彼友,存活4年5个月,2013/7/1,2017/12/31,社交网络,四川,不明确
主厨严选,存活5年2个月,2012/10/1,2017/12/31,电子商务,台湾,不明确
站台,存活4年7个月,2013/5/1,2017/12/31,社交网络,北京,尚未获投
锐码,存活4年7个月,2013/5/1,2017/12/31,电子商务,北京,天使轮
翻漫画,存活4年5个月,2013/7/1,2017/12/31,文娱传媒,上海,不明确
专利众筹网,存活4年4个月,2013/8/1,2017/12/31,金融,北京,不明确
魔方手机助手,存活5年9个月,2012/3/1,2017/12/31,工具软件,北京,尚未获投
Catalog.im,存活5年11个月,2012/1/1,2017/12/31,文娱传媒,上海,不明确
IRewards,存活5年0个月,2012/12/1,2017/12/31,企业服务,上海,不明确
嘀嘀呜,存活5年9个月,2012/3/1,2017/12/31,汽车交通,北京,尚未获投
星期送,存活4年3个月,2013/9/1,2017/12/31,本地生活,湖北,不明确
E达招车,存活5年2个月,2012/10/1,2017/12/31,汽车交通,北京,不明确
粉多客,存活5年4个月,2012/8/1,2017/12/31,电子商务,福建,不明确
某某,存活4年4个月,2013/8/1,2017/12/31,社交网络,北京,天使轮
今日爆款,存活4年5个月,2013/7/1,2017/12/31,电子商务,湖北,不明确
宏图,存活4年9个月,2013/3/1,2017/12/31,文娱传媒,广东,不明确
壹路听,存活4年3个月,2013/9/1,2017/12/31,文娱传媒,北京,不明确
美图手机,存活4年7个月,2013/5/1,2017/12/31,新工业,福建,尚未获投
美腿团,存活4年11个月,2013/1/1,2017/12/31,电子商务,上海,天使轮
金米旅游,存活4年2个月,2013/10/1,2017/12/31,旅游,北京,不明确
好乐智出国留学网,存活4年9个月,2013/3/1,2017/12/31,教育,江苏,不明确
快子创意,存活4年5个月,2013/7/1,2017/12/31,广告营销,北京,不明确
5千克,存活5年4个月,2012/8/1,2017/12/31,电子商务,北京,不明确
趣保科技,存活5年2个月,2012/10/1,2017/12/31,金融,上海,不明确
51婚礼预订网,存活5年9个月,2012/3/1,2017/12/31,本地生活,湖北,不明确
同去社交,存活4年9个月,2013/3/1,2017/12/31,社交网络,上海,不明确
黑方糖,存活5年3个月,2012/9/1,2017/12/31,电子商务,上海,尚未获投
爱品图,存活5年11个月,2012/1/1,2017/12/31,电子商务,北京,不明确
4A店,存活5年4个月,2012/8/1,2017/12/31,汽车交通,广东,不明确
MindRunner小步快跑,存活4年3个月,2013/9/1,2017/12/31,物流,四川,尚未获投
维度品牌,存活4年5个月,2013/7/1,2017/12/31,企业服务,广东,尚未获投
租租看,存活4年7个月,2013/5/1,2017/12/31,房产服务,广东,不明确
V圈,存活5年0个月,2012/12/1,2017/12/31,社交网络,北京,不明确
爱秀吧,存活5年6个月,2012/6/1,2017/12/31,文娱传媒,广东,尚未获投
创腾,存活5年5个月,2012/7/1,2017/12/31,电子商务,广东,尚未获投
麦圈,存活5年6个月,2012/6/1,2017/12/31,社交网络,广东,天使轮
营养膳食指南,存活4年4个月,2013/8/1,2017/12/31,医疗健康,北京,不明确
奔奔BenBen,存活4年2个月,2013/10/1,2017/12/31,社交网络,北京,不明确
推推共享,存活5年10个月,2012/2/1,2017/12/31,工具软件,北京,天使轮
iMenuX,存活5年10个月,2012/2/1,2017/12/31,本地生活,浙江,不明确
时空情缘,存活4年9个月,2013/3/1,2017/12/31,文娱传媒,湖南,不明确
上海泉游,存活4年11个月,2013/1/1,2017/12/31,游戏,上海,不明确
乐换,存活4年9个月,2013/3/1,2017/12/31,电子商务,上海,不明确
