长江汽车,存活24年5个月,1996/6/1,2020/11/3,汽车交通,浙江,尚未获投
Quibi,存活2年9个月,2018/1/1,2020/10/22,文娱传媒,北美洲,战略投资
易果生鲜,存活13年8个月,2007/2/1,2020/10/21,电子商务,上海,D轮
爱钱进,存活6年7个月,2014/3/1,2020/10/21,金融,北京,A轮
优胜教育,存活16年7个月,2004/3/1,2020/10/19,教育,北京,D轮
猪兼强,存活6年1个月,2014/9/1,2020/10/12,汽车交通,广东,B轮
安邦保险,存活15年11个月,2004/10/1,2020/9/14,金融,北京,战略投资
Awok,存活7年5个月,2013/4/1,2020/9/3,电子商务,亚洲,A轮
巢客公寓,存活1年11个月,2018/10/1,2020/9/1,房产服务,浙江,尚未获投
友客公寓,存活1年2个月,2019/6/1,2020/8/28,房产服务,浙江,尚未获投
杯欢制茶,存活3年2个月,2017/6/1,2020/8/22,本地生活,北京,尚未获投
人人优品,存活5年4个月,2015/4/1,2020/8/11,电子商务,广东,A轮
埃果科技,存活2年9个月,2017/11/1,2020/8/6,企业服务,北京,尚未获投
精准分众网络,存活8年5个月,2012/3/1,2020/8/3,广告营销,广东,不明确
玉玲珑,存活8年3个月,2012/4/1,2020/7/31,电子商务,广东,不明确
艾特之家,存活5年4个月,2015/3/1,2020/7/30,企业服务,北京,不明确
满钻网,存活6年8个月,2013/11/1,2020/7/30,电子商务,北京,天使轮
网商园,存活6年5个月,2014/2/1,2020/7/30,电子商务,浙江,尚未获投
ofo小黄车,存活5年7个月,2014/12/1,2020/7/29,汽车交通,北京,战略投资
北鼻网,存活7年4个月,2013/3/1,2020/7/27,电子商务,浙江,不明确
ScaleFactor,存活7年6个月,2013/1/1,2020/7/24,企业服务,北美洲,C轮
聚游堂,存活5年10个月,2014/9/1,2020/7/23,游戏,浙江,不明确
易建永拓,存活6年11个月,2013/8/1,2020/7/23,教育,北京,尚未获投
新乐筹,存活5年10个月,2014/9/1,2020/7/22,金融,北京,A轮
朋泊停车,存活4年9个月,2015/10/1,2020/7/21,企业服务,北京,尚未获投
领孚科技,存活4年8个月,2015/11/1,2020/7/21,企业服务,上海,尚未获投
昴宿科技,存活2年7个月,2017/12/1,2020/7/20,智能硬件,天津,尚未获投
霸屏天下,存活2年6个月,2018/1/1,2020/7/17,广告营销,山东,A轮
诚合时代,存活4年4个月,2016/3/1,2020/7/17,电子商务,北京,不明确
红人装,存活6年4个月,2014/3/1,2020/7/16,社交网络,广东,尚未获投
谷奈木,存活6年8个月,2013/11/1,2020/7/16,企业服务,浙江,尚未获投
FoxOne,存活2年2个月,2018/5/1,2020/7/15,金融,浙江,尚未获投
晓都科技,存活4年9个月,2015/10/1,2020/7/15,智能硬件,四川,尚未获投
右脑,存活5年4个月,2015/3/1,2020/7/15,企业服务,北京,不明确
品仓特卖,存活3年11个月,2016/8/1,2020/7/14,电子商务,福建,尚未获投
tradeWOW小璞科技,存活4年0个月,2016/7/1,2020/7/14,电子商务,上海,尚未获投
宫昊科技,存活6年8个月,2013/11/1,2020/7/13,企业服务,上海,尚未获投
名师硕士团,存活2年4个月,2018/3/1,2020/7/8,教育,云南,尚未获投
东方智慧物流,存活4年1个月,2016/6/1,2020/7/8,物流,安徽,尚未获投
焦之点,存活5年7个月,2014/12/1,2020/7/7,医疗健康,江苏,尚未获投
叮咚直聘,存活5年5个月,2015/2/1,2020/7/6,企业服务,浙江,天使轮
琳琅秀,存活10年1个月,2010/6/1,2020/7/3,电子商务,上海,尚未获投
观见,存活12年10个月,2007/9/1,2020/7/3,企业服务,广东,不明确
问大夫,存活5年7个月,2014/12/1,2020/7/3,医疗健康,湖北,尚未获投
百分银,存活4年7个月,2015/12/1,2020/7/2,金融,上海,尚未获投
创微医疗,存活6年4个月,2014/3/1,2020/7/2,医疗健康,江苏,天使轮
艾比兽,存活2年7个月,2017/12/1,2020/7/2,教育,广东,天使轮
鲁德咨询,存活8年6个月,2012/1/1,2020/7/2,企业服务,上海,尚未获投
Saleen赛麟汽车,存活11年0个月,2009/7/1,2020/7/2,汽车交通,江苏,尚未获投
玛尔比恩,存活5年10个月,2014/9/1,2020/7/2,教育,北京,尚未获投
兔子视频,存活8年11个月,2011/8/1,2020/7/1,文娱传媒,北京,A轮
米联,存活7年3个月,2013/4/1,2020/7/1,工具软件,北京,不明确
二十四快信息,存活8年11个月,2011/7/1,2020/6/30,电子商务,北京,不明确
博郡汽车,存活3年7个月,2016/11/1,2020/6/30,汽车交通,江苏,战略投资
惠赢天下,存活4年7个月,2015/11/1,2020/6/30,企业服务,北京,不明确
LendingCar,存活3年6个月,2016/12/1,2020/6/29,汽车交通,吉林,尚未获投
优品360,存活4年11个月,2015/7/1,2020/6/29,电子商务,广东,不明确
iWorkware,存活4年3个月,2016/3/1,2020/6/29,工具软件,山东,尚未获投
