玖富微理财,存活4年11个月,2014/1/1,2018/12/31,金融,北京,尚未获投
往来科技,存活4年2个月,2014/10/1,2018/12/31,电子商务,北京,天使轮
父母帮,存活4年6个月,2014/6/1,2018/12/31,医疗健康,北京,不明确
优客旅游,存活4年9个月,2014/3/1,2018/12/31,旅游,山西,尚未获投
聚土地,存活4年4个月,2014/8/1,2018/12/31,电子商务,浙江,尚未获投
Yumist,存活4年1个月,2014/11/1,2018/12/31,本地生活,亚洲,Pre-A轮
青年菜君,存活4年11个月,2014/1/1,2018/12/31,电子商务,北京,B轮
漫画帮,存活4年11个月,2014/1/1,2018/12/31,文娱传媒,上海,Pre-A轮
做板子MakeYourBoard,存活4年8个月,2014/4/1,2018/12/31,新工业,上海,不明确
口语角儿,存活4年4个月,2014/8/1,2018/12/31,教育,北京,天使轮
美味盒子,存活4年6个月,2014/6/1,2018/12/31,企业服务,北京,尚未获投
51运到,存活4年4个月,2014/8/1,2018/12/31,物流,上海,不明确
春秋网络,存活4年3个月,2014/9/1,2018/12/31,体育运动,河南,不明确
北京以梦以泉科技,存活4年11个月,2014/1/1,2018/12/31,企业服务,北京,尚未获投
好东西网,存活4年5个月,2014/7/1,2018/12/31,电子商务,上海,不明确
水一方,存活4年6个月,2014/6/1,2018/12/31,社交网络,北京,不明确
cocar共享租车,存活4年3个月,2014/9/1,2018/12/31,汽车交通,上海,天使轮
划动时代,存活4年6个月,2014/6/1,2018/12/31,广告营销,北京,天使轮
安投安,存活4年8个月,2014/4/1,2018/12/31,金融,上海,不明确
金立,存活4年3个月,2014/9/1,2018/12/31,新工业,北京,尚未获投
熊猫私厨,存活4年3个月,2014/9/1,2018/12/31,本地生活,四川,不明确
为艺科技Wegenart,存活4年11个月,2014/1/1,2018/12/31,教育,北京,天使轮
蚁群科技,存活4年5个月,2014/7/1,2018/12/31,企业服务,广东,不明确
昂特兰德,存活4年1个月,2014/11/1,2018/12/31,文娱传媒,北京,不明确
我在,存活4年6个月,2014/6/1,2018/12/31,旅游,湖北,不明确
杭州安肤科技ANVE,存活4年10个月,2014/2/1,2018/12/31,电子商务,浙江,天使轮
喷喷,存活4年1个月,2014/11/1,2018/12/31,社交网络,广东,不明确
潮玩社交,存活4年10个月,2014/2/1,2018/12/31,社交网络,北京,尚未获投
安鲜水果,存活4年9个月,2014/3/1,2018/12/31,本地生活,四川,不明确
眯客,存活4年2个月,2014/10/1,2018/12/31,旅游,上海,A轮
马上快递app,存活4年5个月,2014/7/1,2018/12/31,物流,上海,尚未获投
中体动力,存活4年3个月,2014/9/1,2018/12/31,体育运动,北京,天使轮
